Directory	KS Statistic	KS P-value	Number of P-values	ENRICH_LOG
sim35_smo15_clus11	0.5378364001586856	3.28817058750479e-06	21	4.192221939715834
sim40_smo25_clus15	0.4940618127192884	9.80262437018725e-08	32	4.396872987909575
sim31_smo25_clus25	0.38554035191928837	0.00011738630440216135	31	3.933009996852785
sim40_smo21_clus31	0.5246245565153023	1.0502615358812006e-07	28	4.224132826689322
sim35_smo31_clus11	0.3735398535101768	0.00012133994059739656	33	4.377424322343156
sim35_smo41_clus25	0.30270558341440945	0.0007882601929417588	41	4.539746878528685
sim40_smo25_clus25	0.47831731793256216	7.847935501013247e-07	30	3.787611234837603
sim31_smo25_clus15	0.38228369906749593	0.0001388221768501813	31	4.24011587990566
sim35_smo15_clus21	0.5358994238476096	6.759493809871081e-06	20	4.198512387698845
sim31_smo21_clus31	0.4432973192402251	1.5648039943554852e-05	28	4.212930561510415
sim35_smo31_clus21	0.36384571450978087	0.00020154134911579545	33	4.2037787872900125
sim35_smo45_clus31	0.2935498629899199	0.0008878612069589398	43	4.416314210047527
sim35_smo41_clus15	0.26787740342669564	0.0028080614183361163	44	4.560662299022524
sim40_smo35_clus25	0.34721058406075755	0.00013451438880562124	38	4.074084811145227
sim31_smo35_clus15	0.2921556449526648	0.0022826820922919877	38	4.611721469623716
sim40_smo45_clus11	0.29423718331629	0.0010214710300961993	42	4.434787282390673
sim31_smo31_clus31	0.3662104834463773	0.00017832510994627372	33	4.153187323086866
sim31_smo45_clus21	0.2865759212529171	0.0007739778309677758	46	4.471406298301682
sim35_smo21_clus21	0.4475686387367166	1.880829354310442e-05	27	4.043928776196655
sim40_smo11_clus25	0.5514605894383502	2.1921750352885846e-05	17	4.301175119863927
sim31_smo11_clus15	0.5240375080340323	2.1909706868522435e-05	19	4.1794371954840175
sim31_smo15_clus31	0.5028955268940496	1.128113650528533e-05	22	4.054790107909252
sim40_smo35_clus15	0.3131015112696285	0.0012358368297795685	36	4.626279869491308
sim31_smo35_clus25	0.33675452178392395	0.00019010638300957897	39	4.268986087366454
sim40_smo45_clus21	0.3002641817480436	0.0006192972407983444	43	4.535225311144731
sim40_smo31_clus31	0.41571571369173005	1.1159489334538534e-05	33	4.542236498450124
sim31_smo45_clus11	0.29288374613372525	0.0007720695498664165	44	4.431611577544372
sim40_smo11_clus15	0.5620824612637969	3.4450733257332506e-06	19	4.449560673825551
sim31_smo11_clus25	0.49877835241366797	0.0001961790793835613	17	4.114359914529095
sim35_smo21_clus11	0.4891250823224883	1.768992311293883e-06	27	4.136104803239164
sim40_smo15_clus31	0.5725958668107616	2.3452013600058154e-07	22	3.9453032676918847
sim31_smo11_clus31	0.5306538539332011	2.9460941609688745e-05	18	4.216365404001196
sim35_smo25_clus21	0.42197104810814245	2.3295948669415484e-05	30	4.109614737285506
sim31_smo15_clus15	0.5228491650443152	3.989523576689562e-06	22	3.9746245295518943
sim40_smo15_clus25	0.5660886253550248	1.3975845575745829e-06	20	4.077128017949026
sim31_smo35_clus31	0.3305579125418395	0.00033506411314662753	38	4.286089673527822
sim31_smo41_clus21	0.29495486034975604	0.0006899517573470959	44	4.424587188805332
sim40_smo41_clus11	0.3283393524119842	0.0001556683573677516	42	4.564972639011812
sim31_smo31_clus15	0.3651796857507754	0.00014285171962610452	34	4.3812920872215075
sim40_smo31_clus25	0.4061036709955441	1.9730952935889377e-05	33	4.305364842245021
sim40_smo11_clus31	0.5744166549799059	3.734222761606654e-06	18	4.061515016510645
sim31_smo15_clus25	0.5019525452042222	5.923133866141634e-05	19	3.890070670362544
sim40_smo15_clus15	0.5663163848749104	3.42163068961569e-07	22	4.025191348887043
sim35_smo25_clus11	0.4227286539659575	1.0588177769687689e-05	32	4.203540056398442
sim31_smo41_clus11	0.29509537791937657	0.0009768984398652591	42	4.4999809934754715
sim40_smo41_clus21	0.31829810126314484	0.00022530439041993215	43	4.370198200008255
sim40_smo35_clus31	0.3466895934699956	0.00010816989894580533	39	4.465963781576846
sim31_smo31_clus25	0.36281907519138756	0.00016194470733104572	34	4.284997315079036
sim40_smo31_clus15	0.4299842397016995	4.651583422869849e-06	33	4.3385396027902985
