CHROMOSOME	START	END	ELEMENT	SYMBOL
1	1211340	1214153	ENSG00000186827	TNFRSF4
1	1203508	1206592	ENSG00000186891	TNFRSF18
1	1471765	1497848	ENSG00000160072	ATAD3B
1	629062	629433	ENSG00000225972	MTND1P23
1	8786211	8786913	ENSG00000224315	RPL7P7
1	634376	634922	ENSG00000198744	MTCO3P12
1	182696	184174	ENSG00000279928	DDX11L17
1	3069168	3438621	ENSG00000142611	PRDM16
1	629640	630683	ENSG00000225630	MTND2P28
1	1292390	1309609	ENSG00000131584	ACAP3
1	3658938	3668772	ENSG00000227589	TP73-AS3
1	7368942	7370270	ENSG00000237402	CAMTA1-IT1
1	1308597	1311677	ENSG00000169972	PUSL1
1	2403964	2413797	ENSG00000157911	PEX10
1	631074	632616	ENSG00000237973	MTCO1P12
1	1324756	1328896	ENSG00000224051	CPTP
1	2228319	2310213	ENSG00000157933	SKI
1	3487951	3611508	ENSG00000162591	MEGF6
1	1331280	1335314	ENSG00000169962	TAS1R3
1	487101	489906	ENSG00000233653	CICP7
1	674842	675265	ENSG00000268663	WBP1LP6
1	3944547	3949024	ENSG00000226374	LINC01345
1	8004404	8026309	ENSG00000116285	ERRFI1
1	4175528	4175899	ENSG00000229280	EEF1DP6
1	10472288	10630758	ENSG00000142655	PEX14
1	4571481	4594016	ENSG00000232596	LINC01646
1	4412027	4424689	ENSG00000235054	LINC01777
1	633535	633741	ENSG00000240409	MTATP8P1
1	632757	633438	ENSG00000229344	MTCO2P12
1	5086459	5090899	ENSG00000231510	LINC02782
1	2425980	2505532	ENSG00000149527	PLCH2
1	9292894	9369532	ENSG00000171621	SPSB1
1	347982	348366	ENSG00000236679	RPL23AP24
1	9922113	9943407	ENSG00000162441	LZIC
1	9780822	9781240	ENSG00000271264	MZT1P1
1	6244179	6245578	ENSG00000173673	HES3
1	3735511	3747373	ENSG00000227372	TP73-AS1
1	9035106	9088478	ENSG00000142583	SLC2A5
1	1378666	1379032	ENSG00000223663	NDUFB4P8
1	4973381	4981568	ENSG00000284674	LINC02781
1	11425257	11425821	ENSG00000224338	MTCYBP45
1	8861000	8879190	ENSG00000074800	ENO1
1	15684320	15734769	ENSG00000116786	PLEKHM2
1	1232237	1235041	ENSG00000176022	B3GALT6
1	12567910	12618210	ENSG00000162496	DHRS3
1	8945867	8975092	ENSG00000131686	CA6
1	16369150	16369530	ENSG00000226457	RPL22P3
1	13474973	13514003	ENSG00000162494	LRRC38
1	9943428	9985501	ENSG00000173614	NMNAT1
1	633696	634376	ENSG00000248527	MTATP6P1
1	7382487	7389754	ENSG00000237728	CAMTA1-AS2
1	15191828	15192845	ENSG00000215720	MFFP1
1	13222705	13226106	ENSG00000279804	PRAMEF18
1	10058671	10059648	ENSG00000233623	PGAM1P11
1	3746460	3771645	ENSG00000162592	CCDC27
1	6101787	6180321	ENSG00000116254	CHD5
1	7771296	7781432	ENSG00000049245	VAMP3
1	12926162	12928253	ENSG00000234064	PRAMEF29P
1	11479155	11537551	ENSG00000204624	DISP3
1	9728926	9823984	ENSG00000171603	CLSTN1
1	2590639	2633016	ENSG00000142606	MMEL1
1	1280436	1292029	ENSG00000162572	SCNN1D
1	15152532	15220478	ENSG00000171729	TMEM51
1	10946471	10982037	ENSG00000175262	C1orf127
1	185217	195411	ENSG00000279457	WASH9P
1	1173880	1197936	ENSG00000162571	TTLL10
1	11232963	11233112	ENSG00000238173	RPL39P6
1	3625015	3630127	ENSG00000158109	TPRG1L
1	16246840	16352480	ENSG00000037637	FBXO42
1	1242446	1246722	ENSG00000184163	C1QTNF12
1	18871430	18902724	ENSG00000159423	ALDH4A1
1	8352397	8848921	ENSG00000142599	RERE
1	11806096	11848079	ENSG00000011021	CLCN6
1	2635976	2801717	ENSG00000215912	TTC34
1	12857086	12861909	ENSG00000120952	PRAMEF2
1	12879212	12886201	ENSG00000243073	PRAMEF4
1	15456728	15472091	ENSG00000142615	CELA2A
1	15465909	15491395	ENSG00000215704	CELA2B
1	15836095	15940456	ENSG00000065526	SPEN
1	2391775	2405442	ENSG00000157916	RER1
1	2508537	2526597	ENSG00000157881	PANK4
1	3630767	3652761	ENSG00000116213	WRAP73
1	9950572	9960787	ENSG00000283611	TMEM274P
1	12230030	12512047	ENSG00000048707	VPS13D
1	19664875	19680966	ENSG00000158748	HTR6
1	11609468	11613358	ENSG00000235643	LINC01647
1	12220794	12221109	ENSG00000225196	RPL10P17
1	3454665	3481113	ENSG00000130762	ARHGEF16
1	9997206	10016021	ENSG00000162444	RBP7
1	13196188	13201409	ENSG00000279169	PRAMEF13
1	9100305	9129102	ENSG00000180758	GPR157
1	13273539	13275627	ENSG00000231219	PRAMEF32P
1	22428838	22531157	ENSG00000184677	ZBTB40
1	8878835	8879894	ENSG00000230679	ENO1-AS1
1	19597067	19656927	ENSG00000270136	MICOS10-NBL1
1	11654375	11663327	ENSG00000132879	FBXO44
1	12892896	12898270	ENSG00000187545	PRAMEF10
1	12824605	12831410	ENSG00000239810	PRAMEF11
1	12791397	12796628	ENSG00000116721	PRAMEF1
1	10990978	10991797	ENSG00000215785	CFL1P6
1	5862811	5992473	ENSG00000131697	NPHP4
1	9588911	9614877	ENSG00000188807	TMEM201
1	8201518	8215210	ENSG00000227634	LINC01714
1	11106535	11262551	ENSG00000198793	MTOR
1	3652516	3736201	ENSG00000078900	TP73
1	11189355	11195981	ENSG00000171819	ANGPTL7
1	24961345	24963097	ENSG00000229162	RUNX3-AS1
1	2528745	2530263	ENSG00000197921	HES5
1	7954291	7985505	ENSG00000116288	PARK7
1	2549920	2557031	ENSG00000238164	TNFRSF14-AS1
1	16241213	16241398	ENSG00000233929	MT1XP1
1	12938472	12947580	ENSG00000232423	PRAMEF6
1	24745382	24844321	ENSG00000169504	CLIC4
1	27206930	27207796	ENSG00000225159	NPM1P39
1	12822686	12823159	ENSG00000228338	LINC01784
1	27392622	27395814	ENSG00000181773	GPR3
1	27325329	27325796	ENSG00000241547	ACTG1P20
1	26519354	26520250	ENSG00000224129	DPPA2P2
1	16197854	16198357	ENSG00000234166	ARHGEF19-AS1
1	6783892	6784843	ENSG00000237436	CAMTA1-DT
1	15807169	15809348	ENSG00000233954	UQCRHL
1	27379176	27383333	ENSG00000174950	CD164L2
1	18513118	18513383	ENSG00000235282	DYNLL1P3
1	16352575	16398145	ENSG00000055070	SZRD1
1	26111165	26125555	ENSG00000175087	PDIK1L
1	6785454	7769706	ENSG00000171735	CAMTA1
1	16440721	16460078	ENSG00000157191	NECAP2
1	18166929	18179346	ENSG00000230035	IGSF21-AS1
1	26169516	26171831	ENSG00000236782	ZNF593OS
1	11664200	11674354	ENSG00000116663	FBXO6
1	22322840	22323331	ENSG00000234397	PPIAP34
1	30732469	30757774	ENSG00000162511	LAPTM5
1	26037252	26046118	ENSG00000158014	SLC30A2
1	28369582	28500364	ENSG00000204138	PHACTR4
1	25125053	25125454	ENSG00000233419	IFITM3P7
1	26177484	26189884	ENSG00000142675	CNKSR1
1	26159079	26163962	ENSG00000197245	FAM110D
1	6221193	6235972	ENSG00000116237	ICMT
1	27404230	27490167	ENSG00000158195	WASF2
1	28329002	28335965	ENSG00000130772	MED18
1	2632568	2636620	ENSG00000237058	MMEL1-AS1
1	30013952	30037612	ENSG00000233399	LINC01648
1	27098809	27166981	ENSG00000090020	SLC9A1
1	27211265	27211484	ENSG00000225990	SNRPEP7
1	25543606	25568886	ENSG00000157978	LDLRAP1
1	6204840	6205780	ENSG00000226944	RNF207-AS1
1	28236109	28246906	ENSG00000130770	ATP5IF1
1	3712200	3714298	ENSG00000235131	TP73-AS2
1	30869466	30908758	ENSG00000162512	SDC3
1	9652610	9654586	ENSG00000179840	PIK3CD-AS1
1	27200834	27201473	ENSG00000214973	CHCHD3P3
1	25959767	25998117	ENSG00000158006	PAFAH2
1	27234632	27308636	ENSG00000142784	WDTC1
1	28199456	28233029	ENSG00000126698	DNAJC8
1	35350722	35351607	ENSG00000229994	RPL5P4
1	28259518	28282491	ENSG00000130766	SESN2
1	31409565	31434680	ENSG00000168528	SERINC2
1	4654609	4792534	ENSG00000196581	AJAP1
1	28147166	28193936	ENSG00000169403	PTAFR
1	26529761	26575030	ENSG00000117676	RPS6KA1
1	7441096	7441554	ENSG00000225126	CAMTA1-AS1
1	31179745	31239887	ENSG00000084628	NKAIN1
1	31259568	31296788	ENSG00000060688	SNRNP40
1	9539465	9585173	ENSG00000171612	SLC25A33
1	21424625	21427967	ENSG00000227001	NBPF2P
1	15756607	15786594	ENSG00000162458	FBLIM1
1	34781214	34786369	ENSG00000188910	GJB3
1	29329620	29350114	ENSG00000230523	LINC01756
1	30718504	30726827	ENSG00000186056	MATN1-AS1
1	15526813	15592379	ENSG00000116138	DNAJC16
1	27342020	27353937	ENSG00000142765	SYTL1
1	27970344	28088637	ENSG00000158161	EYA3
1	26169908	26170873	ENSG00000142684	ZNF593
1	8750430	8751087	ENSG00000234619	RPL7P11
1	31365253	31376850	ENSG00000121769	FABP3
1	12746200	12763699	ENSG00000157330	C1orf158
1	16124337	16156069	ENSG00000142627	EPHA2
1	3976133	4012704	ENSG00000284668	LINC02780
1	16197854	16212652	ENSG00000142632	ARHGEF19
1	14338825	14419973	ENSG00000234593	KAZN-AS1
1	11691710	11725857	ENSG00000162490	DRAXIN
1	6247353	6261098	ENSG00000158292	GPR153
1	11278616	11279351	ENSG00000238199	UBE2V2P3
1	27354067	27366961	ENSG00000142733	MAP3K6
1	13892792	15118043	ENSG00000189337	KAZN
1	13254212	13263314	ENSG00000270601	PRAMEF5
1	8424645	8435013	ENSG00000232912	RERE-AS1
1	15604597	15605043	ENSG00000235084	CHCHD2P6
1	6234692	6239444	ENSG00000225077	LINC00337
1	12166991	12209228	ENSG00000028137	TNFRSF1B
1	8893409	8894151	ENSG00000238249	HMGN2P17
1	21428303	21429536	ENSG00000187952	HS6ST1P1
1	35358822	35366077	ENSG00000227409	ZMYM4-AS1
1	15164344	15171317	ENSG00000204464	TMEM51-AS2
1	15742499	15747982	ENSG00000162460	TMEM82
1	35433492	35557950	ENSG00000142687	KIAA0319L
1	31506226	31583306	ENSG00000284543	LINC01226
1	10032832	10181239	ENSG00000130939	UBE4B
1	21397987	21398362	ENSG00000236216	PPP1R11P1
1	15111815	15153618	ENSG00000175147	TMEM51-AS1
1	20028179	20091911	ENSG00000127472	PLA2G5
1	12838125	12841357	ENSG00000231103	PRAMEF30P
1	29236516	29326813	ENSG00000060656	PTPRU
1	34986165	35031945	ENSG00000163867	ZMYM6
1	36630335	36630857	ENSG00000230214	FTLP18
1	34755047	34758512	ENSG00000189280	GJB5
1	35808016	35857890	ENSG00000134698	AGO4
1	37692481	37709719	ENSG00000134690	CDCA8
1	32402109	32403115	ENSG00000224333	GAPDHP20
1	16231692	16237183	ENSG00000132881	CPLANE2
1	32465072	32496686	ENSG00000273274	ZBTB8B
1	15792796	15793285	ENSG00000224321	RPL12P14
1	6185020	6209389	ENSG00000116251	RPL22
1	6205475	6221299	ENSG00000158286	RNF207
1	17717625	17749978	ENSG00000236648	LINC02810
1	37544763	37545294	ENSG00000232273	FTH1P1
1	18630846	18748866	ENSG00000009709	PAX7
1	39838110	39883511	ENSG00000043514	TRIT1
1	21434318	21437558	ENSG00000186543	CROCCP5
1	30711277	30723585	ENSG00000162510	MATN1
1	18839599	18859682	ENSG00000179002	TAS1R2
1	12716110	12728760	ENSG00000188984	AADACL3
1	32423214	32426789	ENSG00000229259	LRRC37A12P
1	26019884	26036464	ENSG00000158008	EXTL1
1	439870	440232	ENSG00000269732	WBP1LP7
1	10636604	10796650	ENSG00000130940	CASZ1
1	15571699	15585051	ENSG00000116771	AGMAT
1	2184461	2212720	ENSG00000162585	FAAP20
1	37556919	37566857	ENSG00000163879	DNALI1
1	21411460	21413293	ENSG00000228823	PDE4DIPP10
1	41027200	41242154	ENSG00000010803	SCMH1
1	18904280	18956676	ENSG00000169991	IFFO2
1	38838198	38859772	ENSG00000116954	RRAGC
1	28095742	28096422	ENSG00000228589	SPCS2P4
1	36795527	37034515	ENSG00000163873	GRIK3
1	21586472	21591187	ENSG00000233431	LINC02596
1	20111939	20119566	ENSG00000117215	PLA2G2D
1	37802945	37808208	ENSG00000196449	YRDC
1	13303539	13308907	ENSG00000237700	PRAMEF33
1	11637018	11655785	ENSG00000116661	FBXO2
1	42040597	42041729	ENSG00000227538	HNRNPFP1
1	15736258	15741392	ENSG00000162461	SLC25A34
1	15614643	15614867	ENSG00000236500	CD24P1
1	42153410	42155820	ENSG00000044012	GUCA2B
1	17406760	17439677	ENSG00000179051	RCC2
1	38708931	38710890	ENSG00000215895	HSPA5P1
1	35599541	35641526	ENSG00000126067	PSMB2
1	15490832	15526534	ENSG00000132906	CASP9
1	15617458	15669044	ENSG00000197312	DDI2
1	46303698	46316776	ENSG00000173660	UQCRH
1	38047314	38119025	ENSG00000224592	MIR3659HG
1	37330852	37330996	ENSG00000230451	RPS29P6
1	31094987	31095558	ENSG00000215900	SELENOWP1
1	35869808	35930532	ENSG00000092847	AGO1
1	12916610	12920482	ENSG00000204510	PRAMEF7
1	34975699	34978706	ENSG00000241014	GPR199P
1	36224432	36305357	ENSG00000054118	THRAP3
1	1275223	1280420	ENSG00000230415	LINC01786
1	42380792	42424232	ENSG00000177181	RIMKLA
1	46446600	46451317	ENSG00000224863	LINC01398
1	17372196	17401699	ENSG00000276747	PADI6
1	9148011	9198906	ENSG00000228526	MIR34AHG
1	17308195	17364004	ENSG00000159339	PADI4
1	39801414	39817460	ENSG00000284678	LINC02811
1	37806979	37809454	ENSG00000197982	C1orf122
1	10895761	10895998	ENSG00000225158	HSPE1P24
1	18065657	18074412	ENSG00000261781	LINC01654
1	37713880	37765133	ENSG00000183317	EPHA10
1	13245863	13248652	ENSG00000250894	PRAMEF31P
1	37996770	38005606	ENSG00000183386	FHL3
1	38885807	38941830	ENSG00000158315	RHBDL2
1	34981535	34985353	ENSG00000243749	TMEM35B
1	37860697	37947057	ENSG00000204084	INPP5B
1	43145153	43156396	ENSG00000186973	FAM183A
1	35268709	35422058	ENSG00000146463	ZMYM4
1	38009258	38024820	ENSG00000183520	UTP11
1	35873270	35873752	ENSG00000271164	CFAP97P1
1	21678298	21783606	ENSG00000090686	USP48
1	37776670	37779418	ENSG00000214141	ACTN4P2
1	35713877	35718894	ENSG00000142686	C1orf216
1	43850300	43851611	ENSG00000224751	SHMT1P1
1	17755333	17827063	ENSG00000117148	ACTL8
1	50780340	50781150	ENSG00000230585	PHBP12
1	40161387	40240921	ENSG00000117000	RLF
1	9848276	9910336	ENSG00000178585	CTNNBIP1
1	35720218	35769978	ENSG00000092853	CLSPN
1	39769523	39771348	ENSG00000198754	OXCT2
1	37566816	37595937	ENSG00000134697	GNL2
1	34792999	34795747	ENSG00000187513	GJA4
1	46891639	46892830	ENSG00000238145	TUBAP8
1	53366656	53368245	ENSG00000230138	LINC02812
1	25041136	25047404	ENSG00000285823	LINC02793
1	50405430	50406024	ENSG00000225671	FCF1P6
1	2321253	2391707	ENSG00000116151	MORN1
1	52994726	52996026	ENSG00000226147	TUBBP10
1	2181794	2184389	ENSG00000182873	PRKCZ-AS1
1	54779712	54801323	ENSG00000006555	TTC22
1	43300982	43323108	ENSG00000066056	TIE1
1	38862493	38873368	ENSG00000214114	MYCBP
1	19484403	19629821	ENSG00000173436	MICOS10
1	34865436	34929650	ENSG00000116544	DLGAP3
1	55367466	55368774	ENSG00000231900	GOT2P1
1	45846994	45847594	ENSG00000232467	TMA16P2
1	40620680	40665682	ENSG00000117016	RIMS3
1	52895910	52927212	ENSG00000121310	ECHDC2
1	51907956	51990700	ENSG00000169213	RAB3B
1	34712737	34859755	ENSG00000163866	SMIM12
1	39897745	39899098	ENSG00000236546	MYCL-AS1
1	7915871	7943165	ENSG00000049249	TNFRSF9
1	50846468	50846837	ENSG00000237130	MRPS6P2
1	39895426	39902256	ENSG00000116990	MYCL
1	54980628	54992288	ENSG00000143001	TMEM61
1	8831007	8831375	ENSG00000229716	RPL23AP19
1	48050659	48091736	ENSG00000226133	LINC02794
1	46967679	46967874	ENSG00000259832	CYP4A26P
1	50229662	50321192	ENSG00000284696	LINC02808
1	60114875	60149784	ENSG00000238242	LINC02778
1	38209034	38214806	ENSG00000237290	LINC01343
1	44221070	44355260	ENSG00000117419	ERI3
1	53214099	53220634	ENSG00000162384	CZIB
1	54609181	54623556	ENSG00000162391	FAM151A
1	53062052	53085501	ENSG00000174348	PODN
1	46843095	46900437	ENSG00000154198	CYP4Z2P
1	51577179	51798427	ENSG00000117859	OSBPL9
1	58999676	59000494	ENSG00000228121	PHBP3
1	43281877	43285617	ENSG00000253313	C1orf210
1	54756898	54764523	ENSG00000162396	PARS2
1	52842511	52894998	ENSG00000203995	ZYG11A
1	51561866	51594897	ENSG00000227742	CALR4P
1	52726453	52827336	ENSG00000162378	ZYG11B
1	55868254	55950119	ENSG00000233079	LINC01755
1	60865259	61462788	ENSG00000162599	NFIA
1	53220663	53224253	ENSG00000259818	CZIB-DT
1	43709392	43727343	ENSG00000229444	ST3GAL3-AS1
1	62194849	62212328	ENSG00000240563	L1TD1
1	52020131	52055191	ENSG00000117862	TXNDC12
1	21509397	21578410	ENSG00000162551	ALPL
1	52050918	52052683	ENSG00000228369	TXNDC12-AS1
1	37956975	37990075	ENSG00000183431	SF3A3
1	59131932	59296491	ENSG00000224609	FGGY-DT
1	62038842	62039111	ENSG00000236646	LAMTOR5P1
1	55039447	55064852	ENSG00000169174	PCSK9
1	55372710	55373316	ENSG00000232198	MTCO2P34
1	65154480	65154650	ENSG00000231622	RPS29P7
